============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260207_224459.txt
============================================================

Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 95/200 | Loss: 0.2910 | Test Loss: 1.9735 | Train: 98.6% | Test: 61.8% | Avg10: 63.5% | Best: 72.5% | WG: 19.0% | WG-Avg10: 14.9% | WG-Best: 31.2%
Ep 96/200 | Loss: 0.2930 | Test Loss: 1.9371 | Train: 98.7% | Test: 62.9% | Avg10: 63.5% | Best: 72.5% | WG: 15.7% | WG-Avg10: 14.4% | WG-Best: 31.2%
Ep 97/200 | Loss: 0.2863 | Test Loss: 1.6320 | Train: 98.8% | Test: 66.0% | Avg10: 63.7% | Best: 72.5% | WG: 11.2% | WG-Avg10: 14.2% | WG-Best: 31.2%
Ep 98/200 | Loss: 0.2930 | Test Loss: 1.9565 | Train: 98.5% | Test: 64.4% | Avg10: 63.5% | Best: 72.5% | WG: 11.1% | WG-Avg10: 14.0% | WG-Best: 31.2%
Ep 99/200 | Loss: 0.2847 | Test Loss: 1.9676 | Train: 98.9% | Test: 59.8% | Avg10: 63.8% | Best: 72.5% | WG: 30.0% | WG-Avg10: 14.8% | WG-Best: 31.2%
Ep 100/200 | Loss: 0.2867 | Test Loss: 2.7117 | Train: 98.9% | Test: 58.1% | Avg10: 62.8% | Best: 72.5% | WG: 21.5% | WG-Avg10: 16.1% | WG-Best: 31.2%
Ep 101/200 | Loss: 0.2836 | Test Loss: 1.4595 | Train: 98.8% | Test: 68.6% | Avg10: 63.2% | Best: 72.5% | WG: 14.8% | WG-Avg10: 16.3% | WG-Best: 31.2%
Ep 102/200 | Loss: 0.2908 | Test Loss: 2.1969 | Train: 98.6% | Test: 61.3% | Avg10: 62.7% | Best: 72.5% | WG: 17.6% | WG-Avg10: 17.1% | WG-Best: 31.2%
Ep 103/200 | Loss: 0.2898 | Test Loss: 2.3313 | Train: 98.6% | Test: 59.7% | Avg10: 62.6% | Best: 72.5% | WG: 22.3% | WG-Avg10: 17.8% | WG-Best: 31.2%
Ep 104/200 | Loss: 0.2907 | Test Loss: 1.9023 | Train: 98.7% | Test: 64.5% | Avg10: 62.7% | Best: 72.5% | WG: 13.4% | WG-Avg10: 17.7% | WG-Best: 31.2%
Ep 105/200 | Loss: 0.2853 | Test Loss: 1.8973 | Train: 98.8% | Test: 64.5% | Avg10: 63.0% | Best: 72.5% | WG: 9.2% | WG-Avg10: 16.7% | WG-Best: 31.2%
Ep 106/200 | Loss: 0.2836 | Test Loss: 1.4004 | Train: 98.6% | Test: 74.8% | Avg10: 64.2% | Best: 72.5% | WG: 4.8% | WG-Avg10: 15.6% | WG-Best: 31.2%
Ep 107/200 | Loss: 0.2860 | Test Loss: 2.2312 | Train: 98.9% | Test: 61.5% | Avg10: 63.7% | Best: 74.8% | WG: 19.3% | WG-Avg10: 16.4% | WG-Best: 31.2%
Ep 108/200 | Loss: 0.2864 | Test Loss: 1.9406 | Train: 98.9% | Test: 63.4% | Avg10: 63.6% | Best: 74.8% | WG: 14.0% | WG-Avg10: 16.7% | WG-Best: 31.2%
Ep 109/200 | Loss: 0.2858 | Test Loss: 1.9509 | Train: 99.1% | Test: 63.9% | Avg10: 64.0% | Best: 74.8% | WG: 17.3% | WG-Avg10: 15.4% | WG-Best: 31.2%
Ep 110/200 | Loss: 0.2845 | Test Loss: 2.0672 | Train: 98.9% | Test: 62.8% | Avg10: 64.5% | Best: 74.8% | WG: 14.0% | WG-Avg10: 14.7% | WG-Best: 31.2%
Ep 111/200 | Loss: 0.2864 | Test Loss: 2.0366 | Train: 99.1% | Test: 62.1% | Avg10: 63.9% | Best: 74.8% | WG: 17.0% | WG-Avg10: 14.9% | WG-Best: 31.2%
Ep 112/200 | Loss: 0.2848 | Test Loss: 1.4498 | Train: 98.9% | Test: 70.7% | Avg10: 64.8% | Best: 74.8% | WG: 12.3% | WG-Avg10: 14.4% | WG-Best: 31.2%
Ep 113/200 | Loss: 0.2862 | Test Loss: 1.4641 | Train: 98.7% | Test: 69.5% | Avg10: 65.8% | Best: 74.8% | WG: 8.4% | WG-Avg10: 13.0% | WG-Best: 31.2%
Ep 114/200 | Loss: 0.2850 | Test Loss: 1.9071 | Train: 99.0% | Test: 67.3% | Avg10: 66.1% | Best: 74.8% | WG: 7.3% | WG-Avg10: 12.4% | WG-Best: 31.2%
Ep 115/200 | Loss: 0.2753 | Test Loss: 2.2412 | Train: 99.4% | Test: 61.6% | Avg10: 65.8% | Best: 74.8% | WG: 16.0% | WG-Avg10: 13.1% | WG-Best: 31.2%
Ep 116/200 | Loss: 0.2856 | Test Loss: 1.7226 | Train: 99.1% | Test: 69.4% | Avg10: 65.2% | Best: 74.8% | WG: 8.7% | WG-Avg10: 13.4% | WG-Best: 31.2%
Ep 117/200 | Loss: 0.2862 | Test Loss: 1.9892 | Train: 98.6% | Test: 66.0% | Avg10: 65.7% | Best: 74.8% | WG: 13.9% | WG-Avg10: 12.9% | WG-Best: 31.2%
Ep 118/200 | Loss: 0.2808 | Test Loss: 2.1672 | Train: 99.2% | Test: 61.9% | Avg10: 65.5% | Best: 74.8% | WG: 18.1% | WG-Avg10: 13.3% | WG-Best: 31.2%
Ep 119/200 | Loss: 0.2769 | Test Loss: 1.8557 | Train: 99.0% | Test: 63.5% | Avg10: 65.5% | Best: 74.8% | WG: 14.0% | WG-Avg10: 13.0% | WG-Best: 31.2%
Ep 120/200 | Loss: 0.2771 | Test Loss: 1.9583 | Train: 99.4% | Test: 65.4% | Avg10: 65.7% | Best: 74.8% | WG: 15.4% | WG-Avg10: 13.1% | WG-Best: 31.2%
Ep 121/200 | Loss: 0.2817 | Test Loss: 1.9033 | Train: 98.9% | Test: 66.6% | Avg10: 66.2% | Best: 74.8% | WG: 8.9% | WG-Avg10: 12.3% | WG-Best: 31.2%
Ep 122/200 | Loss: 0.2786 | Test Loss: 2.4858 | Train: 99.2% | Test: 61.3% | Avg10: 65.3% | Best: 74.8% | WG: 15.6% | WG-Avg10: 12.6% | WG-Best: 31.2%
Ep 123/200 | Loss: 0.2847 | Test Loss: 1.8006 | Train: 98.8% | Test: 65.7% | Avg10: 64.9% | Best: 74.8% | WG: 17.0% | WG-Avg10: 13.5% | WG-Best: 31.2%
Ep 124/200 | Loss: 0.2825 | Test Loss: 1.9170 | Train: 98.9% | Test: 65.0% | Avg10: 64.6% | Best: 74.8% | WG: 13.7% | WG-Avg10: 14.1% | WG-Best: 31.2%
