============================================================
Training Configuration
============================================================
Dataset: waterbirds
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_waterbirds_kan_h2048_e200_20260208_100458.txt
============================================================

Downloading: "https://download.pytorch.org/models/resnet18-f37072fd.pth" to C:\Users\GrGrie/.cache\torch\hub\checkpoints\resnet18-f37072fd.pth
Dataset: WATERBIRDS | Device: cuda | Model: KAN | Params: 21,708,352

Group tracking enabled: 4 groups

Ep 63/200 | Loss: 0.2618 | Test Loss: 0.5530 | Train: 100.0% | Test: 87.5% | Avg10: 87.5% | Best: 88.9% | WG: 64.5% | WG-Avg10: 63.3% | WG-Best: 67.9%
Ep 64/200 | Loss: 0.2615 | Test Loss: 0.5203 | Train: 100.0% | Test: 88.2% | Avg10: 87.6% | Best: 88.9% | WG: 62.3% | WG-Avg10: 63.3% | WG-Best: 67.9%
Ep 65/200 | Loss: 0.2620 | Test Loss: 0.5259 | Train: 100.0% | Test: 88.0% | Avg10: 87.6% | Best: 88.9% | WG: 62.8% | WG-Avg10: 63.3% | WG-Best: 67.9%
Ep 66/200 | Loss: 0.2611 | Test Loss: 0.5174 | Train: 100.0% | Test: 88.2% | Avg10: 87.6% | Best: 88.9% | WG: 63.9% | WG-Avg10: 63.3% | WG-Best: 67.9%
Ep 67/200 | Loss: 0.2615 | Test Loss: 0.5442 | Train: 100.0% | Test: 87.8% | Avg10: 87.7% | Best: 88.9% | WG: 65.1% | WG-Avg10: 63.3% | WG-Best: 67.9%
Ep 68/200 | Loss: 0.2619 | Test Loss: 0.4730 | Train: 99.9% | Test: 89.2% | Avg10: 87.9% | Best: 88.9% | WG: 62.6% | WG-Avg10: 63.1% | WG-Best: 67.9%
Ep 69/200 | Loss: 0.2618 | Test Loss: 0.5409 | Train: 100.0% | Test: 87.7% | Avg10: 88.0% | Best: 89.2% | WG: 65.7% | WG-Avg10: 63.5% | WG-Best: 67.9%
Ep 70/200 | Loss: 0.2615 | Test Loss: 0.5064 | Train: 100.0% | Test: 88.4% | Avg10: 88.0% | Best: 89.2% | WG: 62.5% | WG-Avg10: 63.5% | WG-Best: 67.9%
Ep 71/200 | Loss: 0.2615 | Test Loss: 0.4913 | Train: 100.0% | Test: 88.6% | Avg10: 88.2% | Best: 89.2% | WG: 61.5% | WG-Avg10: 63.3% | WG-Best: 67.9%
Ep 72/200 | Loss: 0.2614 | Test Loss: 0.5293 | Train: 100.0% | Test: 88.0% | Avg10: 88.2% | Best: 89.2% | WG: 68.5% | WG-Avg10: 63.9% | WG-Best: 67.9%
Ep 73/200 | Loss: 0.2612 | Test Loss: 0.5333 | Train: 100.0% | Test: 88.0% | Avg10: 88.2% | Best: 89.2% | WG: 66.7% | WG-Avg10: 64.2% | WG-Best: 68.5%
Ep 74/200 | Loss: 0.2612 | Test Loss: 0.5569 | Train: 100.0% | Test: 87.4% | Avg10: 88.1% | Best: 89.2% | WG: 66.0% | WG-Avg10: 64.5% | WG-Best: 68.5%
Ep 75/200 | Loss: 0.2612 | Test Loss: 0.5413 | Train: 100.0% | Test: 87.6% | Avg10: 88.1% | Best: 89.2% | WG: 65.4% | WG-Avg10: 64.8% | WG-Best: 68.5%
Ep 76/200 | Loss: 0.2611 | Test Loss: 0.5653 | Train: 100.0% | Test: 87.3% | Avg10: 88.0% | Best: 89.2% | WG: 66.4% | WG-Avg10: 65.0% | WG-Best: 68.5%
Ep 77/200 | Loss: 0.2621 | Test Loss: 0.5202 | Train: 100.0% | Test: 88.1% | Avg10: 88.0% | Best: 89.2% | WG: 61.8% | WG-Avg10: 64.7% | WG-Best: 68.5%
Ep 78/200 | Loss: 0.2610 | Test Loss: 0.5227 | Train: 100.0% | Test: 88.1% | Avg10: 87.9% | Best: 89.2% | WG: 62.3% | WG-Avg10: 64.7% | WG-Best: 68.5%
Ep 79/200 | Loss: 0.2614 | Test Loss: 0.5140 | Train: 100.0% | Test: 88.2% | Avg10: 88.0% | Best: 89.2% | WG: 65.0% | WG-Avg10: 64.6% | WG-Best: 68.5%
Ep 80/200 | Loss: 0.2622 | Test Loss: 0.5325 | Train: 100.0% | Test: 87.9% | Avg10: 87.9% | Best: 89.2% | WG: 67.0% | WG-Avg10: 65.1% | WG-Best: 68.5%
Ep 81/200 | Loss: 0.2613 | Test Loss: 0.4928 | Train: 100.0% | Test: 88.8% | Avg10: 87.9% | Best: 89.2% | WG: 65.3% | WG-Avg10: 65.4% | WG-Best: 68.5%
Ep 82/200 | Loss: 0.2615 | Test Loss: 0.5141 | Train: 100.0% | Test: 88.3% | Avg10: 88.0% | Best: 89.2% | WG: 65.1% | WG-Avg10: 65.1% | WG-Best: 68.5%
Ep 83/200 | Loss: 0.2613 | Test Loss: 0.5126 | Train: 100.0% | Test: 88.4% | Avg10: 88.0% | Best: 89.2% | WG: 62.9% | WG-Avg10: 64.7% | WG-Best: 68.5%
Ep 84/200 | Loss: 0.2609 | Test Loss: 0.5524 | Train: 100.0% | Test: 87.4% | Avg10: 88.0% | Best: 89.2% | WG: 66.5% | WG-Avg10: 64.8% | WG-Best: 68.5%
Ep 85/200 | Loss: 0.2615 | Test Loss: 0.5500 | Train: 100.0% | Test: 87.6% | Avg10: 88.0% | Best: 89.2% | WG: 65.0% | WG-Avg10: 64.7% | WG-Best: 68.5%
Ep 86/200 | Loss: 0.2620 | Test Loss: 0.5805 | Train: 100.0% | Test: 87.0% | Avg10: 88.0% | Best: 89.2% | WG: 65.4% | WG-Avg10: 64.6% | WG-Best: 68.5%
Ep 87/200 | Loss: 0.2613 | Test Loss: 0.5230 | Train: 100.0% | Test: 87.9% | Avg10: 88.0% | Best: 89.2% | WG: 63.7% | WG-Avg10: 64.8% | WG-Best: 68.5%
Ep 88/200 | Loss: 0.2614 | Test Loss: 0.5310 | Train: 100.0% | Test: 87.8% | Avg10: 87.9% | Best: 89.2% | WG: 66.0% | WG-Avg10: 65.2% | WG-Best: 68.5%
Ep 89/200 | Loss: 0.2608 | Test Loss: 0.5586 | Train: 100.0% | Test: 87.5% | Avg10: 87.9% | Best: 89.2% | WG: 67.0% | WG-Avg10: 65.4% | WG-Best: 68.5%
Ep 90/200 | Loss: 0.2612 | Test Loss: 0.5041 | Train: 100.0% | Test: 88.6% | Avg10: 87.9% | Best: 89.2% | WG: 63.4% | WG-Avg10: 65.0% | WG-Best: 68.5%
Ep 91/200 | Loss: 0.2615 | Test Loss: 0.5161 | Train: 100.0% | Test: 88.5% | Avg10: 87.9% | Best: 89.2% | WG: 66.0% | WG-Avg10: 65.1% | WG-Best: 68.5%
