============================================================
Training Configuration
============================================================
Dataset: cmnist
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_cmnist_kan_h2048_e200_20260202_132204.txt
============================================================

Dataset: CMNIST | Device: cuda | Model: KAN | Params: 21,864,512

Ep 162/200 | Loss: 0.0038 | Test Loss: 0.0487 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 163/200 | Loss: 0.0039 | Test Loss: 0.0418 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 164/200 | Loss: 0.0046 | Test Loss: 0.0647 | Train: 99.9% | Test: 98.4% | Best: 99.3%
Ep 165/200 | Loss: 0.0048 | Test Loss: 0.0349 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 166/200 | Loss: 0.0039 | Test Loss: 0.0554 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 167/200 | Loss: 0.0033 | Test Loss: 0.0471 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 168/200 | Loss: 0.0026 | Test Loss: 0.0443 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 169/200 | Loss: 0.0048 | Test Loss: 0.0771 | Train: 99.8% | Test: 98.4% | Best: 99.3%
Ep 170/200 | Loss: 0.0021 | Test Loss: 0.0629 | Train: 99.9% | Test: 98.6% | Best: 99.3%
Ep 171/200 | Loss: 0.0041 | Test Loss: 0.0510 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 172/200 | Loss: 0.0036 | Test Loss: 0.0696 | Train: 99.9% | Test: 98.5% | Best: 99.3%
Ep 173/200 | Loss: 0.0039 | Test Loss: 0.0488 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 174/200 | Loss: 0.0032 | Test Loss: 0.0365 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 175/200 | Loss: 0.0033 | Test Loss: 0.0291 | Train: 99.9% | Test: 99.3% | Best: 99.3%
Ep 176/200 | Loss: 0.0034 | Test Loss: 0.0523 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 177/200 | Loss: 0.0036 | Test Loss: 0.0419 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 178/200 | Loss: 0.0032 | Test Loss: 0.0400 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 179/200 | Loss: 0.0033 | Test Loss: 0.0493 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 180/200 | Loss: 0.0034 | Test Loss: 0.0746 | Train: 99.9% | Test: 98.2% | Best: 99.3%
Ep 181/200 | Loss: 0.0028 | Test Loss: 0.0347 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 182/200 | Loss: 0.0039 | Test Loss: 0.0497 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 183/200 | Loss: 0.0037 | Test Loss: 0.0381 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 184/200 | Loss: 0.0047 | Test Loss: 0.0635 | Train: 99.9% | Test: 98.6% | Best: 99.3%
Ep 185/200 | Loss: 0.0037 | Test Loss: 0.0823 | Train: 99.9% | Test: 97.9% | Best: 99.3%
Ep 186/200 | Loss: 0.0036 | Test Loss: 0.0523 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 187/200 | Loss: 0.0035 | Test Loss: 0.0616 | Train: 99.9% | Test: 98.3% | Best: 99.3%
Ep 188/200 | Loss: 0.0021 | Test Loss: 0.0571 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 189/200 | Loss: 0.0040 | Test Loss: 0.0539 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 190/200 | Loss: 0.0036 | Test Loss: 0.0539 | Train: 99.9% | Test: 98.7% | Best: 99.3%
Ep 191/200 | Loss: 0.0041 | Test Loss: 0.0523 | Train: 99.9% | Test: 98.8% | Best: 99.3%
Ep 192/200 | Loss: 0.0041 | Test Loss: 0.0375 | Train: 99.9% | Test: 99.2% | Best: 99.3%
Ep 193/200 | Loss: 0.0038 | Test Loss: 0.0700 | Train: 99.9% | Test: 98.4% | Best: 99.3%
Ep 194/200 | Loss: 0.0034 | Test Loss: 0.0367 | Train: 99.9% | Test: 99.1% | Best: 99.3%
Ep 195/200 | Loss: 0.0024 | Test Loss: 0.0681 | Train: 99.9% | Test: 98.5% | Best: 99.3%
Ep 196/200 | Loss: 0.0037 | Test Loss: 0.0421 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 197/200 | Loss: 0.0027 | Test Loss: 0.0371 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 198/200 | Loss: 0.0036 | Test Loss: 0.0387 | Train: 99.9% | Test: 98.9% | Best: 99.3%
Ep 199/200 | Loss: 0.0037 | Test Loss: 0.0347 | Train: 99.9% | Test: 99.0% | Best: 99.3%
Ep 200/200 | Loss: 0.0026 | Test Loss: 0.0520 | Train: 99.9% | Test: 98.7% | Best: 99.3%

============================================================
Training completed!
Total training time: 5475.07s (91.25m)
Best test accuracy: 99.35%
Model saved to: ./best.pt
Log saved to: .\logs\train_cmnist_kan_h2048_e200_20260202_132204.txt
============================================================
