============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260202_101834.txt
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 107/200 | Loss: 0.0706 | Test Loss: 0.3588 | Train: 97.5% | Test: 90.3% | Best: 90.3%
Ep 108/200 | Loss: 0.0720 | Test Loss: 0.3575 | Train: 97.6% | Test: 90.2% | Best: 90.3%
Ep 109/200 | Loss: 0.0692 | Test Loss: 0.3435 | Train: 97.6% | Test: 90.7% | Best: 90.7%
Ep 110/200 | Loss: 0.0701 | Test Loss: 0.3905 | Train: 97.5% | Test: 89.2% | Best: 90.7%
Ep 111/200 | Loss: 0.0699 | Test Loss: 0.3832 | Train: 97.6% | Test: 89.6% | Best: 90.7%
Ep 112/200 | Loss: 0.0696 | Test Loss: 0.3794 | Train: 97.6% | Test: 89.8% | Best: 90.7%
Ep 113/200 | Loss: 0.0676 | Test Loss: 0.3640 | Train: 97.7% | Test: 90.4% | Best: 90.7%
Ep 114/200 | Loss: 0.0665 | Test Loss: 0.3492 | Train: 97.8% | Test: 90.5% | Best: 90.7%
Ep 115/200 | Loss: 0.0683 | Test Loss: 0.3650 | Train: 97.6% | Test: 90.2% | Best: 90.7%
Ep 116/200 | Loss: 0.0679 | Test Loss: 0.3408 | Train: 97.6% | Test: 90.8% | Best: 90.8%
Ep 117/200 | Loss: 0.0645 | Test Loss: 0.3462 | Train: 97.7% | Test: 90.5% | Best: 90.8%
Ep 118/200 | Loss: 0.0667 | Test Loss: 0.3652 | Train: 97.7% | Test: 90.4% | Best: 90.8%
Ep 119/200 | Loss: 0.0649 | Test Loss: 0.3714 | Train: 97.8% | Test: 90.1% | Best: 90.8%
Ep 120/200 | Loss: 0.0664 | Test Loss: 0.3412 | Train: 97.7% | Test: 90.8% | Best: 90.8%
Ep 121/200 | Loss: 0.0641 | Test Loss: 0.3709 | Train: 97.8% | Test: 90.2% | Best: 90.8%
Ep 122/200 | Loss: 0.0628 | Test Loss: 0.3773 | Train: 97.8% | Test: 90.0% | Best: 90.8%
Ep 123/200 | Loss: 0.0664 | Test Loss: 0.3385 | Train: 97.7% | Test: 90.7% | Best: 90.8%
Ep 124/200 | Loss: 0.0647 | Test Loss: 0.3576 | Train: 97.8% | Test: 90.5% | Best: 90.8%
Ep 125/200 | Loss: 0.0635 | Test Loss: 0.3495 | Train: 97.8% | Test: 90.5% | Best: 90.8%
Ep 126/200 | Loss: 0.0621 | Test Loss: 0.3610 | Train: 97.9% | Test: 90.5% | Best: 90.8%
Ep 127/200 | Loss: 0.0627 | Test Loss: 0.3544 | Train: 97.9% | Test: 90.8% | Best: 90.8%
Ep 128/200 | Loss: 0.0641 | Test Loss: 0.3532 | Train: 97.8% | Test: 90.6% | Best: 90.8%
Ep 129/200 | Loss: 0.0624 | Test Loss: 0.3646 | Train: 97.8% | Test: 90.5% | Best: 90.8%
Ep 130/200 | Loss: 0.0627 | Test Loss: 0.3416 | Train: 97.9% | Test: 90.7% | Best: 90.8%
Ep 131/200 | Loss: 0.0611 | Test Loss: 0.3833 | Train: 97.9% | Test: 90.0% | Best: 90.8%
Ep 132/200 | Loss: 0.0612 | Test Loss: 0.3840 | Train: 97.9% | Test: 90.2% | Best: 90.8%
Ep 133/200 | Loss: 0.0606 | Test Loss: 0.3929 | Train: 97.9% | Test: 89.7% | Best: 90.8%
Ep 134/200 | Loss: 0.0642 | Test Loss: 0.3357 | Train: 97.8% | Test: 91.2% | Best: 91.2%
Ep 135/200 | Loss: 0.0619 | Test Loss: 0.3703 | Train: 97.9% | Test: 90.3% | Best: 91.2%
Ep 136/200 | Loss: 0.0614 | Test Loss: 0.3534 | Train: 97.9% | Test: 90.3% | Best: 91.2%
Ep 137/200 | Loss: 0.0600 | Test Loss: 0.3502 | Train: 97.9% | Test: 91.0% | Best: 91.2%
Ep 138/200 | Loss: 0.0582 | Test Loss: 0.3554 | Train: 98.0% | Test: 90.5% | Best: 91.2%
Ep 139/200 | Loss: 0.0603 | Test Loss: 0.3667 | Train: 98.0% | Test: 90.4% | Best: 91.2%
Ep 140/200 | Loss: 0.0599 | Test Loss: 0.3599 | Train: 98.0% | Test: 90.4% | Best: 91.2%
Ep 141/200 | Loss: 0.0607 | Test Loss: 0.3704 | Train: 98.0% | Test: 90.1% | Best: 91.2%
Ep 142/200 | Loss: 0.0579 | Test Loss: 0.3355 | Train: 98.1% | Test: 91.2% | Best: 91.2%
Ep 143/200 | Loss: 0.0603 | Test Loss: 0.3883 | Train: 98.0% | Test: 89.7% | Best: 91.2%
Ep 144/200 | Loss: 0.0577 | Test Loss: 0.3414 | Train: 98.0% | Test: 91.2% | Best: 91.2%
Ep 145/200 | Loss: 0.0577 | Test Loss: 0.4438 | Train: 98.0% | Test: 88.9% | Best: 91.2%
Ep 146/200 | Loss: 0.0605 | Test Loss: 0.3578 | Train: 97.9% | Test: 90.8% | Best: 91.2%
Ep 147/200 | Loss: 0.0576 | Test Loss: 0.3315 | Train: 98.1% | Test: 91.1% | Best: 91.2%
Ep 148/200 | Loss: 0.0583 | Test Loss: 0.3540 | Train: 98.0% | Test: 90.7% | Best: 91.2%
Ep 149/200 | Loss: 0.0590 | Test Loss: 0.3714 | Train: 98.0% | Test: 90.5% | Best: 91.2%
Ep 150/200 | Loss: 0.0612 | Test Loss: 0.3519 | Train: 97.9% | Test: 90.8% | Best: 91.2%
Ep 151/200 | Loss: 0.0583 | Test Loss: 0.3433 | Train: 98.1% | Test: 91.1% | Best: 91.2%
Ep 152/200 | Loss: 0.0590 | Test Loss: 0.3626 | Train: 98.0% | Test: 91.0% | Best: 91.2%
Ep 153/200 | Loss: 0.0556 | Test Loss: 0.4154 | Train: 98.1% | Test: 89.6% | Best: 91.2%
Ep 154/200 | Loss: 0.0572 | Test Loss: 0.3475 | Train: 98.1% | Test: 90.9% | Best: 91.2%
Ep 155/200 | Loss: 0.0585 | Test Loss: 0.3731 | Train: 98.0% | Test: 90.5% | Best: 91.2%
Ep 156/200 | Loss: 0.0552 | Test Loss: 0.3645 | Train: 98.2% | Test: 90.6% | Best: 91.2%
Ep 157/200 | Loss: 0.0576 | Test Loss: 0.3519 | Train: 98.1% | Test: 91.0% | Best: 91.2%
Ep 158/200 | Loss: 0.0554 | Test Loss: 0.3773 | Train: 98.2% | Test: 90.7% | Best: 91.2%
Ep 159/200 | Loss: 0.0575 | Test Loss: 0.3621 | Train: 98.1% | Test: 90.2% | Best: 91.2%
Ep 160/200 | Loss: 0.0587 | Test Loss: 0.3700 | Train: 98.0% | Test: 90.7% | Best: 91.2%
Ep 161/200 | Loss: 0.0607 | Test Loss: 0.3618 | Train: 98.0% | Test: 90.5% | Best: 91.2%
Ep 162/200 | Loss: 0.0534 | Test Loss: 0.3481 | Train: 98.2% | Test: 90.8% | Best: 91.2%
Ep 163/200 | Loss: 0.0564 | Test Loss: 0.3842 | Train: 98.1% | Test: 90.1% | Best: 91.2%
Ep 164/200 | Loss: 0.0566 | Test Loss: 0.4019 | Train: 98.1% | Test: 90.0% | Best: 91.2%
Ep 165/200 | Loss: 0.0573 | Test Loss: 0.4277 | Train: 98.0% | Test: 89.0% | Best: 91.2%
Ep 166/200 | Loss: 0.0549 | Test Loss: 0.4030 | Train: 98.1% | Test: 89.9% | Best: 91.2%
Ep 167/200 | Loss: 0.0579 | Test Loss: 0.3259 | Train: 98.0% | Test: 91.2% | Best: 91.2%
Ep 168/200 | Loss: 0.0561 | Test Loss: 0.3788 | Train: 98.0% | Test: 90.1% | Best: 91.2%
Ep 169/200 | Loss: 0.0547 | Test Loss: 0.3504 | Train: 98.2% | Test: 90.8% | Best: 91.2%
Ep 170/200 | Loss: 0.0545 | Test Loss: 0.3618 | Train: 98.1% | Test: 90.8% | Best: 91.2%
Ep 171/200 | Loss: 0.0545 | Test Loss: 0.4098 | Train: 98.2% | Test: 90.0% | Best: 91.2%
Ep 172/200 | Loss: 0.0588 | Test Loss: 0.3551 | Train: 98.0% | Test: 91.0% | Best: 91.2%
Ep 173/200 | Loss: 0.0544 | Test Loss: 0.3549 | Train: 98.2% | Test: 91.0% | Best: 91.2%
Ep 174/200 | Loss: 0.0552 | Test Loss: 0.3568 | Train: 98.1% | Test: 90.6% | Best: 91.2%
Ep 175/200 | Loss: 0.0563 | Test Loss: 0.3364 | Train: 98.1% | Test: 91.3% | Best: 91.3%
Ep 176/200 | Loss: 0.0560 | Test Loss: 0.3310 | Train: 98.1% | Test: 91.4% | Best: 91.4%
Ep 177/200 | Loss: 0.0536 | Test Loss: 0.3517 | Train: 98.2% | Test: 91.0% | Best: 91.4%
Ep 178/200 | Loss: 0.0539 | Test Loss: 0.3715 | Train: 98.2% | Test: 90.7% | Best: 91.4%
Ep 179/200 | Loss: 0.0553 | Test Loss: 0.3557 | Train: 98.1% | Test: 90.8% | Best: 91.4%
Ep 180/200 | Loss: 0.0542 | Test Loss: 0.3842 | Train: 98.2% | Test: 90.3% | Best: 91.4%
Ep 181/200 | Loss: 0.0543 | Test Loss: 0.3876 | Train: 98.1% | Test: 90.2% | Best: 91.4%
Ep 182/200 | Loss: 0.0556 | Test Loss: 0.3994 | Train: 98.1% | Test: 89.7% | Best: 91.4%
Ep 183/200 | Loss: 0.0548 | Test Loss: 0.3515 | Train: 98.1% | Test: 90.6% | Best: 91.4%
Ep 184/200 | Loss: 0.0544 | Test Loss: 0.3322 | Train: 98.1% | Test: 90.9% | Best: 91.4%
Ep 185/200 | Loss: 0.0551 | Test Loss: 0.3566 | Train: 98.1% | Test: 91.0% | Best: 91.4%
Ep 186/200 | Loss: 0.0553 | Test Loss: 0.3454 | Train: 98.1% | Test: 91.0% | Best: 91.4%
Ep 187/200 | Loss: 0.0521 | Test Loss: 0.3505 | Train: 98.2% | Test: 91.0% | Best: 91.4%
Ep 188/200 | Loss: 0.0528 | Test Loss: 0.3567 | Train: 98.3% | Test: 90.9% | Best: 91.4%
Ep 189/200 | Loss: 0.0511 | Test Loss: 0.3575 | Train: 98.2% | Test: 91.0% | Best: 91.4%
Ep 190/200 | Loss: 0.0547 | Test Loss: 0.3582 | Train: 98.1% | Test: 90.8% | Best: 91.4%
Ep 191/200 | Loss: 0.0551 | Test Loss: 0.3511 | Train: 98.1% | Test: 91.0% | Best: 91.4%
Ep 192/200 | Loss: 0.0520 | Test Loss: 0.4244 | Train: 98.2% | Test: 89.4% | Best: 91.4%
Ep 193/200 | Loss: 0.0518 | Test Loss: 0.3537 | Train: 98.2% | Test: 90.8% | Best: 91.4%
Ep 194/200 | Loss: 0.0524 | Test Loss: 0.3464 | Train: 98.2% | Test: 91.0% | Best: 91.4%
Ep 195/200 | Loss: 0.0554 | Test Loss: 0.3241 | Train: 98.2% | Test: 91.5% | Best: 91.5%
Ep 196/200 | Loss: 0.0551 | Test Loss: 0.3390 | Train: 98.2% | Test: 91.3% | Best: 91.5%
Ep 197/200 | Loss: 0.0505 | Test Loss: 0.3708 | Train: 98.3% | Test: 90.9% | Best: 91.5%
Ep 198/200 | Loss: 0.0523 | Test Loss: 0.3521 | Train: 98.2% | Test: 91.1% | Best: 91.5%
Ep 199/200 | Loss: 0.0529 | Test Loss: 0.3607 | Train: 98.2% | Test: 90.5% | Best: 91.5%
Ep 200/200 | Loss: 0.0533 | Test Loss: 0.3263 | Train: 98.1% | Test: 91.5% | Best: 91.5%

============================================================
Training completed!
Total training time: 5512.72s (91.88m)
Best test accuracy: 91.53%
Model saved to: ./best.pt
Log saved to: .\logs\train_cifar10_kan_h2048_e200_20260202_101834.txt
============================================================
