============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.001
Seed: 2
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260212_153751.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 68/200 | Loss: 0.0579 | Test Loss: 0.2317 | Train: 98.9% | Test: 93.6% | Avg10: 94.2% | Best: 94.8%
Ep 69/200 | Loss: 0.0592 | Test Loss: 0.2020 | Train: 98.9% | Test: 94.4% | Avg10: 94.2% | Best: 94.8%
Ep 70/200 | Loss: 0.0590 | Test Loss: 0.2396 | Train: 98.9% | Test: 94.0% | Avg10: 94.1% | Best: 94.8%
Ep 71/200 | Loss: 0.0598 | Test Loss: 0.2591 | Train: 98.8% | Test: 93.3% | Avg10: 94.0% | Best: 94.8%
Ep 72/200 | Loss: 0.0607 | Test Loss: 0.2106 | Train: 98.9% | Test: 94.4% | Avg10: 94.1% | Best: 94.8%
Ep 73/200 | Loss: 0.0593 | Test Loss: 0.2313 | Train: 98.9% | Test: 94.0% | Avg10: 94.0% | Best: 94.8%
Ep 74/200 | Loss: 0.0625 | Test Loss: 0.2514 | Train: 98.8% | Test: 93.5% | Avg10: 94.0% | Best: 94.8%
Ep 75/200 | Loss: 0.0638 | Test Loss: 0.2339 | Train: 98.7% | Test: 93.8% | Avg10: 93.9% | Best: 94.8%
Ep 76/200 | Loss: 0.0617 | Test Loss: 0.2261 | Train: 98.8% | Test: 93.8% | Avg10: 93.9% | Best: 94.8%
Ep 77/200 | Loss: 0.0632 | Test Loss: 0.2223 | Train: 98.8% | Test: 93.9% | Avg10: 93.9% | Best: 94.8%
Ep 78/200 | Loss: 0.0603 | Test Loss: 0.2251 | Train: 98.8% | Test: 93.8% | Avg10: 93.9% | Best: 94.8%
Ep 79/200 | Loss: 0.0613 | Test Loss: 0.2300 | Train: 98.8% | Test: 94.1% | Avg10: 93.9% | Best: 94.8%
Ep 80/200 | Loss: 0.0616 | Test Loss: 0.2402 | Train: 98.8% | Test: 93.8% | Avg10: 93.8% | Best: 94.8%
Ep 81/200 | Loss: 0.0632 | Test Loss: 0.2467 | Train: 98.8% | Test: 93.7% | Avg10: 93.9% | Best: 94.8%
Ep 82/200 | Loss: 0.0658 | Test Loss: 0.2458 | Train: 98.7% | Test: 93.4% | Avg10: 93.8% | Best: 94.8%
Ep 83/200 | Loss: 0.0656 | Test Loss: 0.2374 | Train: 98.7% | Test: 93.7% | Avg10: 93.7% | Best: 94.8%
Ep 84/200 | Loss: 0.0668 | Test Loss: 0.2262 | Train: 98.6% | Test: 94.0% | Avg10: 93.8% | Best: 94.8%
Ep 85/200 | Loss: 0.0642 | Test Loss: 0.2424 | Train: 98.8% | Test: 93.5% | Avg10: 93.8% | Best: 94.8%
Ep 86/200 | Loss: 0.0637 | Test Loss: 0.2380 | Train: 98.7% | Test: 93.3% | Avg10: 93.7% | Best: 94.8%
Ep 87/200 | Loss: 0.0679 | Test Loss: 0.2414 | Train: 98.6% | Test: 93.6% | Avg10: 93.7% | Best: 94.8%
Ep 88/200 | Loss: 0.0663 | Test Loss: 0.2501 | Train: 98.7% | Test: 93.2% | Avg10: 93.6% | Best: 94.8%
Ep 89/200 | Loss: 0.0639 | Test Loss: 0.2710 | Train: 98.7% | Test: 92.8% | Avg10: 93.5% | Best: 94.8%
Ep 90/200 | Loss: 0.0680 | Test Loss: 0.2625 | Train: 98.6% | Test: 93.2% | Avg10: 93.4% | Best: 94.8%
Ep 91/200 | Loss: 0.0687 | Test Loss: 0.2448 | Train: 98.6% | Test: 93.7% | Avg10: 93.4% | Best: 94.8%
Ep 92/200 | Loss: 0.0693 | Test Loss: 0.2307 | Train: 98.6% | Test: 93.7% | Avg10: 93.5% | Best: 94.8%
Ep 93/200 | Loss: 0.0682 | Test Loss: 0.2231 | Train: 98.6% | Test: 94.2% | Avg10: 93.5% | Best: 94.8%
Ep 94/200 | Loss: 0.0650 | Test Loss: 0.2480 | Train: 98.7% | Test: 93.7% | Avg10: 93.5% | Best: 94.8%
Ep 95/200 | Loss: 0.0686 | Test Loss: 0.2601 | Train: 98.6% | Test: 93.2% | Avg10: 93.5% | Best: 94.8%
Ep 96/200 | Loss: 0.0687 | Test Loss: 0.2663 | Train: 98.5% | Test: 93.0% | Avg10: 93.4% | Best: 94.8%
Ep 97/200 | Loss: 0.0683 | Test Loss: 0.2569 | Train: 98.6% | Test: 93.3% | Avg10: 93.4% | Best: 94.8%
