============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\cifar10_kan_kanRegWeight0.01_lr0.01_seed42_e200_hiddenDim2048_20260306_131003.txt
WandB: enabled
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Backbone frozen: False (requires_grad=True, BN in train mode)
Trainable parameters: 21864512 / 21864512
Ep 63/200 | Train Loss: 0.7700 | Val Loss: 0.8342 | Test Loss: 0.8342 | Train: 81.9% | Val: 72.5% | Test: 72.5% | Val-Avg10: 72.3% | Val-Best: 78.5%
Ep 64/200 | Train Loss: 0.7674 | Val Loss: 0.8921 | Test Loss: 0.8921 | Train: 82.0% | Val: 70.0% | Test: 70.0% | Val-Avg10: 72.3% | Val-Best: 78.5%
Ep 65/200 | Train Loss: 0.7707 | Val Loss: 0.7196 | Test Loss: 0.7196 | Train: 81.9% | Val: 75.6% | Test: 75.6% | Val-Avg10: 72.5% | Val-Best: 78.5%
Ep 66/200 | Train Loss: 0.7704 | Val Loss: 0.7385 | Test Loss: 0.7385 | Train: 81.6% | Val: 74.0% | Test: 74.0% | Val-Avg10: 73.1% | Val-Best: 78.5%
Ep 67/200 | Train Loss: 0.7711 | Val Loss: 0.6925 | Test Loss: 0.6925 | Train: 81.9% | Val: 76.5% | Test: 76.5% | Val-Avg10: 72.9% | Val-Best: 78.5%
Ep 68/200 | Train Loss: 0.7705 | Val Loss: 0.6668 | Test Loss: 0.6668 | Train: 81.8% | Val: 77.2% | Test: 77.2% | Val-Avg10: 73.3% | Val-Best: 78.5%
Ep 69/200 | Train Loss: 0.7681 | Val Loss: 0.8563 | Test Loss: 0.8563 | Train: 81.8% | Val: 70.9% | Test: 70.9% | Val-Avg10: 72.7% | Val-Best: 78.5%
Ep 70/200 | Train Loss: 0.7652 | Val Loss: 0.8372 | Test Loss: 0.8372 | Train: 82.1% | Val: 72.4% | Test: 72.4% | Val-Avg10: 72.8% | Val-Best: 78.5%
Ep 71/200 | Train Loss: 0.7647 | Val Loss: 0.7023 | Test Loss: 0.7023 | Train: 82.3% | Val: 75.4% | Test: 75.4% | Val-Avg10: 72.9% | Val-Best: 78.5%
Ep 72/200 | Train Loss: 0.7629 | Val Loss: 0.8525 | Test Loss: 0.8525 | Train: 82.1% | Val: 71.2% | Test: 71.2% | Val-Avg10: 73.6% | Val-Best: 78.5%
Ep 73/200 | Train Loss: 0.7651 | Val Loss: 0.8762 | Test Loss: 0.8762 | Train: 82.1% | Val: 68.8% | Test: 68.8% | Val-Avg10: 73.2% | Val-Best: 78.5%
Ep 74/200 | Train Loss: 0.7582 | Val Loss: 0.6644 | Test Loss: 0.6644 | Train: 82.3% | Val: 76.5% | Test: 76.5% | Val-Avg10: 73.9% | Val-Best: 78.5%
Ep 75/200 | Train Loss: 0.7607 | Val Loss: 0.7317 | Test Loss: 0.7317 | Train: 82.1% | Val: 74.3% | Test: 74.3% | Val-Avg10: 73.7% | Val-Best: 78.5%
Ep 76/200 | Train Loss: 0.7614 | Val Loss: 0.8408 | Test Loss: 0.8408 | Train: 82.1% | Val: 71.4% | Test: 71.4% | Val-Avg10: 73.5% | Val-Best: 78.5%
Ep 77/200 | Train Loss: 0.7605 | Val Loss: 0.6964 | Test Loss: 0.6964 | Train: 82.1% | Val: 76.3% | Test: 76.3% | Val-Avg10: 73.4% | Val-Best: 78.5%
Ep 78/200 | Train Loss: 0.7618 | Val Loss: 0.6589 | Test Loss: 0.6589 | Train: 82.2% | Val: 76.7% | Test: 76.7% | Val-Avg10: 73.4% | Val-Best: 78.5%
