============================================================
Training Configuration
============================================================
Dataset: cifar10
Head: kan
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.01
Seed: 42
Device: cuda
Log file: .\logs\train_cifar10_kan_h2048_e200_20260207_124445.txt
============================================================

Dataset: CIFAR10 | Device: cuda | Model: KAN | Params: 21,864,512

Ep 122/200 | Loss: 0.3097 | Test Loss: 0.3600 | Train: 97.8% | Test: 89.9% | Avg10: 89.9% | Best: 90.6%
Ep 123/200 | Loss: 0.3112 | Test Loss: 0.3917 | Train: 97.7% | Test: 89.3% | Avg10: 89.8% | Best: 90.6%
Ep 124/200 | Loss: 0.3110 | Test Loss: 0.3810 | Train: 97.8% | Test: 89.7% | Avg10: 89.7% | Best: 90.6%
Ep 125/200 | Loss: 0.3121 | Test Loss: 0.3805 | Train: 97.8% | Test: 90.0% | Avg10: 89.8% | Best: 90.6%
Ep 126/200 | Loss: 0.3109 | Test Loss: 0.3931 | Train: 97.8% | Test: 89.5% | Avg10: 89.7% | Best: 90.6%
Ep 127/200 | Loss: 0.3084 | Test Loss: 0.3232 | Train: 97.8% | Test: 91.1% | Avg10: 89.8% | Best: 91.1%
Ep 128/200 | Loss: 0.3096 | Test Loss: 0.3476 | Train: 97.8% | Test: 90.6% | Avg10: 89.9% | Best: 91.1%
Ep 129/200 | Loss: 0.3103 | Test Loss: 0.3391 | Train: 97.8% | Test: 90.8% | Avg10: 90.0% | Best: 91.1%
Ep 130/200 | Loss: 0.3054 | Test Loss: 0.3754 | Train: 98.0% | Test: 90.0% | Avg10: 90.0% | Best: 91.1%
Ep 131/200 | Loss: 0.3100 | Test Loss: 0.3289 | Train: 97.8% | Test: 90.7% | Avg10: 90.2% | Best: 91.1%
Ep 132/200 | Loss: 0.3082 | Test Loss: 0.3720 | Train: 97.8% | Test: 90.0% | Avg10: 90.2% | Best: 91.1%
Ep 133/200 | Loss: 0.3083 | Test Loss: 0.3868 | Train: 97.8% | Test: 90.0% | Avg10: 90.2% | Best: 91.1%
Ep 134/200 | Loss: 0.3111 | Test Loss: 0.3422 | Train: 97.7% | Test: 90.8% | Avg10: 90.3% | Best: 91.1%
Ep 135/200 | Loss: 0.3052 | Test Loss: 0.3670 | Train: 97.9% | Test: 90.6% | Avg10: 90.4% | Best: 91.1%
Ep 136/200 | Loss: 0.3086 | Test Loss: 0.3406 | Train: 97.8% | Test: 90.8% | Avg10: 90.5% | Best: 91.1%
Ep 137/200 | Loss: 0.3037 | Test Loss: 0.3581 | Train: 98.0% | Test: 90.6% | Avg10: 90.5% | Best: 91.1%
Ep 138/200 | Loss: 0.3083 | Test Loss: 0.3492 | Train: 97.9% | Test: 90.8% | Avg10: 90.5% | Best: 91.1%
Ep 139/200 | Loss: 0.3034 | Test Loss: 0.3639 | Train: 98.1% | Test: 90.2% | Avg10: 90.4% | Best: 91.1%
Ep 140/200 | Loss: 0.3052 | Test Loss: 0.3382 | Train: 98.0% | Test: 91.1% | Avg10: 90.6% | Best: 91.1%
Ep 141/200 | Loss: 0.3038 | Test Loss: 0.3557 | Train: 97.9% | Test: 90.3% | Avg10: 90.5% | Best: 91.1%
Ep 142/200 | Loss: 0.3046 | Test Loss: 0.3335 | Train: 98.0% | Test: 91.3% | Avg10: 90.6% | Best: 91.3%
Ep 143/200 | Loss: 0.3055 | Test Loss: 0.3817 | Train: 97.9% | Test: 90.0% | Avg10: 90.6% | Best: 91.3%
Ep 144/200 | Loss: 0.3051 | Test Loss: 0.3517 | Train: 98.0% | Test: 90.7% | Avg10: 90.6% | Best: 91.3%
Ep 145/200 | Loss: 0.3053 | Test Loss: 0.3692 | Train: 97.8% | Test: 90.2% | Avg10: 90.6% | Best: 91.3%
Ep 146/200 | Loss: 0.3033 | Test Loss: 0.3616 | Train: 98.1% | Test: 90.5% | Avg10: 90.6% | Best: 91.3%
Ep 147/200 | Loss: 0.3046 | Test Loss: 0.3399 | Train: 97.9% | Test: 90.8% | Avg10: 90.6% | Best: 91.3%
Ep 148/200 | Loss: 0.3040 | Test Loss: 0.3988 | Train: 98.1% | Test: 89.6% | Avg10: 90.5% | Best: 91.3%
Ep 149/200 | Loss: 0.3039 | Test Loss: 0.3411 | Train: 98.0% | Test: 90.7% | Avg10: 90.5% | Best: 91.3%
Ep 150/200 | Loss: 0.3017 | Test Loss: 0.3422 | Train: 98.1% | Test: 90.9% | Avg10: 90.5% | Best: 91.3%
Ep 151/200 | Loss: 0.3046 | Test Loss: 0.3487 | Train: 98.1% | Test: 90.6% | Avg10: 90.5% | Best: 91.3%
Ep 152/200 | Loss: 0.3040 | Test Loss: 0.3649 | Train: 98.0% | Test: 90.5% | Avg10: 90.4% | Best: 91.3%
Ep 153/200 | Loss: 0.3014 | Test Loss: 0.3302 | Train: 98.1% | Test: 91.0% | Avg10: 90.6% | Best: 91.3%
Ep 154/200 | Loss: 0.3065 | Test Loss: 0.3688 | Train: 97.9% | Test: 90.3% | Avg10: 90.5% | Best: 91.3%
Ep 155/200 | Loss: 0.3019 | Test Loss: 0.3777 | Train: 98.1% | Test: 90.4% | Avg10: 90.5% | Best: 91.3%
Ep 156/200 | Loss: 0.3035 | Test Loss: 0.3586 | Train: 97.9% | Test: 90.8% | Avg10: 90.6% | Best: 91.3%
Ep 157/200 | Loss: 0.3012 | Test Loss: 0.3990 | Train: 98.0% | Test: 89.9% | Avg10: 90.5% | Best: 91.3%
Ep 158/200 | Loss: 0.3048 | Test Loss: 0.3774 | Train: 98.0% | Test: 90.1% | Avg10: 90.5% | Best: 91.3%
Ep 159/200 | Loss: 0.3005 | Test Loss: 0.3447 | Train: 98.1% | Test: 91.1% | Avg10: 90.5% | Best: 91.3%
Ep 160/200 | Loss: 0.3028 | Test Loss: 0.3670 | Train: 98.0% | Test: 90.5% | Avg10: 90.5% | Best: 91.3%
Ep 161/200 | Loss: 0.3025 | Test Loss: 0.3575 | Train: 98.0% | Test: 90.3% | Avg10: 90.5% | Best: 91.3%
Ep 162/200 | Loss: 0.3029 | Test Loss: 0.3693 | Train: 98.1% | Test: 90.2% | Avg10: 90.5% | Best: 91.3%
Ep 163/200 | Loss: 0.3017 | Test Loss: 0.3125 | Train: 98.2% | Test: 91.3% | Avg10: 90.5% | Best: 91.3%
Ep 164/200 | Loss: 0.3023 | Test Loss: 0.3487 | Train: 98.1% | Test: 90.5% | Avg10: 90.5% | Best: 91.3%
Ep 165/200 | Loss: 0.3007 | Test Loss: 0.3538 | Train: 98.1% | Test: 90.8% | Avg10: 90.5% | Best: 91.3%
Ep 166/200 | Loss: 0.3032 | Test Loss: 0.3290 | Train: 98.1% | Test: 91.5% | Avg10: 90.6% | Best: 91.5%
Ep 167/200 | Loss: 0.3003 | Test Loss: 0.3430 | Train: 98.1% | Test: 91.0% | Avg10: 90.7% | Best: 91.5%
Ep 168/200 | Loss: 0.3050 | Test Loss: 0.4038 | Train: 98.0% | Test: 89.3% | Avg10: 90.7% | Best: 91.5%
Ep 169/200 | Loss: 0.3020 | Test Loss: 0.3463 | Train: 98.1% | Test: 90.9% | Avg10: 90.6% | Best: 91.5%
Ep 170/200 | Loss: 0.2988 | Test Loss: 0.3425 | Train: 98.2% | Test: 91.1% | Avg10: 90.7% | Best: 91.5%
Ep 171/200 | Loss: 0.2997 | Test Loss: 0.3632 | Train: 98.2% | Test: 90.8% | Avg10: 90.7% | Best: 91.5%
Ep 172/200 | Loss: 0.3014 | Test Loss: 0.3351 | Train: 98.1% | Test: 91.4% | Avg10: 90.9% | Best: 91.5%
