============================================================
Training Configuration
============================================================
Dataset: metashift
Head: mlp
Hidden dim: 2048
Epochs: 200
Batch size: 128
Learning rate: 0.01
Weight decay: 0.0005
KAN reg weight: 0.0
Seed: 42
Device: cuda
Log file: .\logs\train_metashift_mlp_h2048_e200_20260203_114645.txt
============================================================

Preparing MetaShift dataset (using CIFAR-10 cats and dogs as proxy)...
MetaShift proxy dataset prepared.
Dataset: METASHIFT | Device: cuda | Model: MLP | Params: 12,227,650

Ep 141/200 | Loss: 0.0613 | Test Loss: 0.6716 | Train: 97.6% | Test: 86.0% | Best: 86.0%
Ep 142/200 | Loss: 0.0479 | Test Loss: 0.6768 | Train: 98.1% | Test: 85.8% | Best: 86.0%
Ep 143/200 | Loss: 0.0538 | Test Loss: 0.6627 | Train: 97.9% | Test: 85.8% | Best: 86.0%
Ep 144/200 | Loss: 0.0480 | Test Loss: 0.9678 | Train: 98.2% | Test: 80.2% | Best: 86.0%
Ep 145/200 | Loss: 0.0531 | Test Loss: 0.6680 | Train: 98.0% | Test: 85.9% | Best: 86.0%
Ep 146/200 | Loss: 0.0546 | Test Loss: 0.8755 | Train: 97.8% | Test: 83.0% | Best: 86.0%
Ep 147/200 | Loss: 0.0456 | Test Loss: 0.6825 | Train: 98.4% | Test: 85.5% | Best: 86.0%
Ep 148/200 | Loss: 0.0592 | Test Loss: 0.6613 | Train: 98.0% | Test: 86.5% | Best: 86.5%
Ep 149/200 | Loss: 0.0441 | Test Loss: 1.0577 | Train: 98.4% | Test: 82.3% | Best: 86.5%
Ep 150/200 | Loss: 0.0536 | Test Loss: 0.6406 | Train: 98.0% | Test: 86.0% | Best: 86.5%
Ep 151/200 | Loss: 0.0502 | Test Loss: 0.9867 | Train: 98.2% | Test: 81.5% | Best: 86.5%
Ep 152/200 | Loss: 0.0495 | Test Loss: 0.6557 | Train: 98.0% | Test: 86.2% | Best: 86.5%
Ep 153/200 | Loss: 0.0470 | Test Loss: 0.8249 | Train: 98.3% | Test: 84.2% | Best: 86.5%
Ep 154/200 | Loss: 0.0528 | Test Loss: 0.7245 | Train: 98.1% | Test: 85.2% | Best: 86.5%
Ep 155/200 | Loss: 0.0427 | Test Loss: 0.7436 | Train: 98.4% | Test: 84.9% | Best: 86.5%
Ep 156/200 | Loss: 0.0452 | Test Loss: 0.7946 | Train: 98.5% | Test: 84.8% | Best: 86.5%
Ep 157/200 | Loss: 0.0475 | Test Loss: 0.7447 | Train: 98.3% | Test: 85.0% | Best: 86.5%
Ep 158/200 | Loss: 0.0439 | Test Loss: 0.7806 | Train: 98.3% | Test: 84.9% | Best: 86.5%
Ep 159/200 | Loss: 0.0520 | Test Loss: 0.8131 | Train: 98.0% | Test: 84.0% | Best: 86.5%
Ep 160/200 | Loss: 0.0454 | Test Loss: 0.8093 | Train: 98.4% | Test: 84.7% | Best: 86.5%
Ep 161/200 | Loss: 0.0411 | Test Loss: 0.7116 | Train: 98.5% | Test: 84.9% | Best: 86.5%
Ep 162/200 | Loss: 0.0537 | Test Loss: 0.7510 | Train: 98.0% | Test: 85.4% | Best: 86.5%
Ep 163/200 | Loss: 0.0463 | Test Loss: 0.9962 | Train: 98.3% | Test: 82.6% | Best: 86.5%
Ep 164/200 | Loss: 0.0452 | Test Loss: 0.7822 | Train: 98.3% | Test: 85.8% | Best: 86.5%
